,Supplies SubgroupNum,Supplies GroupNum,Region Num,Route To MarketNum,Opportunity Result,PREDICT
0,5,2,4,1,Loss,Loss
1,4,0,6,2,Loss,Loss
2,2,0,3,2,Loss,Loss
3,10,0,4,0,Loss,Loss
4,4,0,6,4,Loss,Loss
5,0,0,1,0,Loss,Loss
6,5,2,5,0,Won,Loss
7,3,0,2,2,Loss,Loss
8,5,2,5,2,Loss,Loss
9,2,0,4,0,Loss,Loss
10,8,2,1,0,Loss,Loss
11,2,0,4,0,Loss,Loss
12,3,0,5,2,Loss,Loss
13,4,0,3,2,Loss,Loss
14,10,0,1,0,Loss,Loss
15,5,2,5,2,Won,Loss
16,5,2,3,2,Won,Loss
17,5,2,1,0,Loss,Loss
18,8,2,4,0,Loss,Loss
19,5,2,1,2,Won,Loss
20,4,0,4,2,Won,Loss
21,8,2,5,2,Loss,Loss
22,2,0,4,0,Won,Loss
23,5,2,0,1,Loss,Loss
24,2,0,1,2,Loss,Loss
25,5,2,2,0,Loss,Loss
26,8,2,5,2,Won,Loss
27,8,2,0,0,Loss,Loss
28,7,0,1,2,Won,Loss
29,3,0,0,2,Loss,Loss
30,0,0,5,2,Loss,Loss
31,10,0,4,0,Loss,Loss
32,2,0,1,2,Won,Loss
33,2,0,3,2,Won,Loss
34,5,2,2,2,Loss,Loss
35,0,0,3,0,Loss,Loss
36,5,2,3,2,Loss,Loss
37,2,0,1,2,Won,Loss
38,3,0,0,0,Loss,Loss
39,7,0,1,0,Won,Loss
40,2,0,6,2,Loss,Loss
41,7,0,1,0,Loss,Loss
42,2,0,0,2,Won,Loss
43,3,0,1,2,Loss,Loss
44,4,0,1,0,Loss,Loss
45,6,2,5,0,Loss,Loss
46,2,0,6,2,Loss,Loss
47,10,0,0,0,Loss,Loss
48,5,2,6,0,Loss,Loss
49,4,0,0,2,Won,Loss
50,7,0,4,1,Loss,Loss
51,7,0,2,2,Loss,Loss
52,6,2,5,2,Won,Loss
53,8,2,1,0,Loss,Loss
54,3,0,1,2,Won,Loss
55,5,2,5,2,Loss,Loss
56,7,0,6,0,Loss,Loss
57,0,0,2,0,Loss,Loss
58,5,2,0,2,Loss,Loss
59,4,0,4,0,Loss,Loss
60,2,0,4,4,Won,Loss
61,7,0,1,2,Loss,Loss
62,7,0,6,2,Loss,Loss
63,5,2,4,0,Loss,Loss
64,9,3,2,0,Loss,Loss
65,4,0,4,2,Loss,Loss
66,2,0,4,2,Loss,Loss
67,5,2,4,2,Loss,Loss
68,3,0,3,0,Loss,Loss
69,2,0,0,2,Loss,Loss
70,0,0,3,0,Loss,Loss
71,3,0,4,4,Loss,Loss
72,2,0,0,2,Loss,Loss
73,7,0,2,2,Loss,Loss
74,5,2,2,2,Won,Loss
75,6,2,5,2,Loss,Loss
76,7,0,3,2,Loss,Loss
77,7,0,3,2,Loss,Loss
78,2,0,5,2,Loss,Loss
79,3,0,0,2,Won,Loss
80,2,0,6,2,Loss,Loss
81,0,0,4,0,Loss,Loss
82,3,0,6,0,Loss,Loss
83,4,0,1,0,Won,Loss
84,5,2,4,0,Loss,Loss
85,10,0,1,3,Loss,Loss
86,2,0,3,0,Loss,Loss
87,5,2,4,2,Loss,Loss
88,3,0,0,2,Loss,Loss
89,4,0,3,0,Loss,Loss
90,5,2,1,0,Won,Loss
91,2,0,6,2,Loss,Loss
92,0,0,4,2,Loss,Loss
93,5,2,2,2,Loss,Loss
94,5,2,4,0,Won,Loss
95,3,0,0,2,Loss,Loss
96,2,0,1,0,Loss,Loss
97,7,0,1,2,Loss,Loss
98,8,2,4,0,Loss,Loss
99,7,0,4,0,Loss,Loss
100,2,0,1,0,Loss,Loss
101,5,2,2,0,Loss,Loss
102,5,2,2,0,Loss,Loss
103,2,0,1,2,Won,Loss
104,0,0,1,0,Loss,Loss
105,3,0,0,2,Won,Loss
106,4,0,4,2,Won,Loss
107,5,2,6,0,Loss,Loss
108,4,0,4,0,Loss,Loss
109,7,0,2,2,Won,Loss
110,3,0,2,2,Loss,Loss
111,2,0,1,2,Won,Loss
112,2,0,3,2,Loss,Loss
113,8,2,3,2,Loss,Loss
114,2,0,1,0,Loss,Loss
115,8,2,4,2,Won,Loss
116,8,2,5,0,Loss,Loss
117,8,2,5,2,Won,Loss
118,5,2,1,0,Won,Loss
119,5,2,3,2,Loss,Loss
120,6,2,0,2,Loss,Loss
121,3,0,1,2,Loss,Loss
122,0,0,2,0,Loss,Loss
123,2,0,4,1,Loss,Loss
124,10,0,1,3,Loss,Loss
125,3,0,3,2,Loss,Loss
126,6,2,3,2,Loss,Loss
127,8,2,0,0,Loss,Loss
128,2,0,6,2,Loss,Loss
129,2,0,6,0,Loss,Loss
130,3,0,4,2,Loss,Loss
131,5,2,3,2,Won,Loss
132,2,0,0,0,Won,Loss
133,2,0,0,2,Loss,Loss
134,4,0,1,1,Loss,Loss
135,8,2,5,0,Won,Loss
136,3,0,5,2,Won,Loss
137,8,2,4,2,Loss,Loss
138,5,2,4,2,Won,Loss
139,8,2,5,0,Loss,Loss
140,10,0,3,0,Loss,Loss
141,3,0,1,2,Won,Loss
142,5,2,3,0,Loss,Loss
143,5,2,2,2,Loss,Loss
144,0,0,3,1,Loss,Loss
145,5,2,1,0,Loss,Loss
146,10,0,1,2,Loss,Loss
147,5,2,6,0,Loss,Loss
148,7,0,1,2,Loss,Loss
149,0,0,3,1,Loss,Loss
150,2,0,5,0,Loss,Loss
151,0,0,2,2,Loss,Loss
152,2,0,1,0,Loss,Loss
153,4,0,3,0,Won,Loss
154,5,2,3,0,Won,Loss
155,8,2,4,0,Loss,Loss
156,2,0,2,0,Loss,Loss
157,2,0,1,2,Loss,Loss
158,4,0,3,2,Loss,Loss
159,3,0,4,2,Won,Loss
160,7,0,0,2,Won,Loss
161,0,0,6,2,Loss,Loss
162,2,0,6,0,Loss,Loss
163,6,2,1,0,Won,Loss
164,0,0,6,2,Loss,Loss
165,8,2,0,0,Won,Loss
166,2,0,3,2,Loss,Loss
167,9,3,1,0,Loss,Loss
168,4,0,5,0,Loss,Loss
169,2,0,1,2,Loss,Loss
170,0,0,4,2,Loss,Loss
171,4,0,1,0,Loss,Loss
172,8,2,4,0,Loss,Loss
173,5,2,4,0,Loss,Loss
174,4,0,4,0,Loss,Loss
175,0,0,3,0,Loss,Loss
176,2,0,5,2,Won,Loss
177,7,0,4,0,Loss,Loss
178,5,2,1,2,Won,Loss
179,5,2,1,0,Loss,Loss
180,6,2,6,0,Loss,Loss
181,0,0,6,2,Loss,Loss
182,6,2,5,0,Loss,Loss
183,3,0,6,2,Loss,Loss
184,8,2,4,0,Loss,Loss
185,8,2,2,2,Loss,Loss
186,7,0,4,0,Won,Loss
187,8,2,4,2,Won,Loss
188,2,0,0,2,Loss,Loss
189,5,2,3,2,Loss,Loss
190,5,2,1,2,Won,Loss
191,8,2,4,2,Loss,Loss
192,3,0,5,2,Won,Loss
193,7,0,5,2,Loss,Loss
194,6,2,0,2,Loss,Loss
195,0,0,1,2,Loss,Loss
196,3,0,1,0,Won,Loss
197,2,0,0,2,Won,Loss
198,2,0,4,0,Loss,Loss
199,2,0,0,0,Loss,Loss
200,5,2,2,0,Won,Loss
201,10,0,0,2,Won,Loss
202,8,2,1,2,Loss,Loss
203,5,2,4,0,Loss,Loss
204,3,0,1,0,Won,Loss
205,7,0,4,0,Won,Loss
206,0,0,5,2,Loss,Loss
207,2,0,0,0,Loss,Loss
208,2,0,2,0,Won,Loss
209,2,0,2,2,Loss,Loss
210,2,0,1,0,Won,Loss
211,3,0,4,2,Won,Loss
212,5,2,4,2,Won,Loss
213,8,2,4,2,Won,Loss
214,8,2,6,0,Loss,Loss
215,2,0,0,2,Won,Loss
216,6,2,1,0,Won,Loss
217,2,0,3,0,Loss,Loss
218,10,0,3,2,Won,Loss
219,3,0,5,2,Loss,Loss
220,5,2,6,2,Loss,Loss
221,5,2,2,2,Won,Loss
222,3,0,1,2,Loss,Loss
223,5,2,1,2,Loss,Loss
224,7,0,4,1,Won,Loss
225,7,0,6,2,Loss,Loss
226,10,0,1,0,Loss,Loss
227,2,0,1,0,Loss,Loss
228,5,2,1,0,Won,Loss
229,5,2,5,0,Loss,Loss
230,10,0,5,3,Loss,Loss
231,3,0,1,0,Loss,Loss
232,3,0,4,1,Loss,Loss
233,10,0,1,4,Loss,Loss
234,5,2,1,2,Loss,Loss
235,4,0,1,2,Loss,Loss
236,7,0,3,2,Loss,Loss
237,0,0,1,0,Loss,Loss
238,5,2,4,0,Loss,Loss
239,2,0,6,2,Loss,Loss
240,7,0,1,2,Loss,Loss
241,5,2,1,0,Won,Loss
242,2,0,4,2,Loss,Loss
243,0,0,4,1,Loss,Loss
244,4,0,5,0,Loss,Loss
245,7,0,5,0,Loss,Loss
246,7,0,3,0,Loss,Loss
247,3,0,1,0,Loss,Loss
248,3,0,2,2,Won,Loss
249,5,2,4,0,Loss,Loss
250,2,0,3,2,Loss,Loss
251,7,0,1,0,Won,Loss
252,7,0,4,0,Loss,Loss
253,3,0,1,0,Loss,Loss
254,5,2,1,2,Loss,Loss
255,0,0,1,2,Loss,Loss
256,8,2,4,0,Loss,Loss
257,10,0,0,2,Loss,Loss
258,2,0,4,2,Loss,Loss
259,2,0,1,0,Loss,Loss
260,2,0,1,4,Loss,Loss
261,5,2,5,0,Loss,Loss
262,2,0,6,2,Won,Loss
263,8,2,4,2,Loss,Loss
264,7,0,1,4,Loss,Loss
265,3,0,1,2,Loss,Loss
266,2,0,6,2,Won,Loss
267,0,0,5,2,Loss,Loss
268,10,0,2,0,Loss,Loss
269,2,0,1,2,Loss,Loss
270,5,2,5,0,Won,Loss
271,5,2,1,2,Won,Loss
272,0,0,0,0,Loss,Loss
273,5,2,1,0,Loss,Loss
274,6,2,1,0,Won,Loss
275,4,0,5,0,Loss,Loss
276,4,0,1,0,Loss,Loss
277,7,0,1,4,Loss,Loss
278,5,2,1,0,Loss,Loss
279,2,0,3,0,Won,Loss
280,3,0,5,2,Loss,Loss
281,5,2,4,0,Won,Loss
282,3,0,4,1,Won,Loss
283,0,0,6,0,Loss,Loss
284,2,0,2,2,Loss,Loss
285,0,0,6,2,Loss,Loss
286,2,0,1,2,Won,Loss
287,2,0,5,2,Loss,Loss
288,3,0,5,2,Won,Loss
289,8,2,4,1,Loss,Loss
290,3,0,2,0,Loss,Loss
291,8,2,1,1,Loss,Loss
292,6,2,5,2,Won,Loss
293,5,2,5,2,Loss,Loss
294,0,0,4,4,Won,Loss
295,10,0,4,1,Loss,Loss
296,7,0,1,2,Won,Loss
297,5,2,4,1,Loss,Loss
298,5,2,4,2,Won,Loss
299,0,0,1,2,Loss,Loss
300,4,0,4,0,Loss,Loss
301,5,2,4,0,Won,Loss
302,5,2,2,2,Won,Loss
303,3,0,6,0,Loss,Loss
304,5,2,3,0,Loss,Loss
305,2,0,1,2,Loss,Loss
306,0,0,4,0,Won,Loss
307,5,2,0,2,Loss,Loss
308,2,0,1,0,Loss,Loss
309,2,0,3,0,Won,Loss
310,6,2,4,2,Loss,Loss
311,0,0,3,2,Won,Loss
312,3,0,1,0,Loss,Loss
313,2,0,4,0,Loss,Loss
314,1,1,1,0,Loss,Loss
315,2,0,4,2,Loss,Loss
316,4,0,6,0,Loss,Loss
